,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
43,MiddlePhalanxOutlineCorrect,0.6769759450171822,0.6907216494845361,0.6872852233676976,0.6391752577319587,0.6151202749140894,0.6563573883161512,0.6529209621993127,0.6804123711340206,0.6460481099656358,0.6666666666666666
44,MiddlePhalanxOutlineAgeGroup,0.564935064935065,0.4155844155844156,0.4805194805194805,0.5064935064935064,0.4805194805194805,0.4935064935064935,0.5,0.4285714285714285,0.4025974025974026,0.487012987012987
45,MiddlePhalanxTW,0.5,0.487012987012987,0.4545454545454545,0.4675324675324675,0.4285714285714285,0.448051948051948,0.448051948051948,0.422077922077922,0.474025974025974,0.461038961038961
46,MoteStrain,0.6285942492012779,0.6645367412140575,0.597444089456869,0.610223642172524,0.6741214057507987,0.6301916932907349,0.6741214057507987,0.6916932907348243,0.713258785942492,0.5630990415335463
47,NonInvasiveFetalECGThorax1,0.7083969465648855,0.6829516539440204,0.7073791348600509,0.6987277353689567,0.7297709923664122,0.6493638676844784,0.7139949109414758,0.7312977099236642,0.6829516539440204,0.6804071246819339
48,NonInvasiveFetalECGThorax2,0.7262086513994911,0.7541984732824427,0.7409669211195928,0.7694656488549618,0.7323155216284988,0.7659033078880407,0.7725190839694657,0.7755725190839695,0.7603053435114504,0.7740458015267175
49,OliveOil,0.8,0.5333333333333333,0.7333333333333333,0.6,0.7,0.6666666666666666,0.7,0.8,0.4,0.7333333333333333
50,OSULeaf,0.4917355371900826,0.5041322314049587,0.4586776859504132,0.4545454545454545,0.4173553719008264,0.512396694214876,0.4338842975206611,0.4173553719008264,0.4958677685950413,0.4380165289256198
51,PhalangesOutlinesCorrect,0.6724941724941725,0.6923076923076923,0.710955710955711,0.6713286713286714,0.6596736596736597,0.675990675990676,0.7027972027972028,0.6771561771561772,0.7144522144522144,0.6899766899766899
52,Phoneme,0.1255274261603375,0.1118143459915611,0.0891350210970464,0.1165611814345991,0.1313291139240506,0.0891350210970464,0.1255274261603375,0.1165611814345991,0.1197257383966244,0.1276371308016877
53,Plane,0.8476190476190476,0.8380952380952381,0.7619047619047619,0.8761904761904762,0.7428571428571429,0.8857142857142857,0.7238095238095238,0.8571428571428571,0.8095238095238095,0.8571428571428571
54,ProximalPhalanxOutlineCorrect,0.7731958762886598,0.7216494845360825,0.7491408934707904,0.7147766323024055,0.7972508591065293,0.7422680412371134,0.7457044673539519,0.7697594501718213,0.7250859106529209,0.7457044673539519
55,ProximalPhalanxOutlineAgeGroup,0.7609756097560976,0.7609756097560976,0.775609756097561,0.7317073170731707,0.7707317073170732,0.7219512195121951,0.7609756097560976,0.7609756097560976,0.7317073170731707,0.7414634146341463
56,ProximalPhalanxTW,0.6536585365853659,0.697560975609756,0.6780487804878049,0.6585365853658537,0.6731707317073171,0.6731707317073171,0.6731707317073171,0.697560975609756,0.6195121951219512,0.6439024390243903
57,RefrigerationDevices,0.4373333333333333,0.48,0.4426666666666666,0.448,0.416,0.4026666666666667,0.4426666666666666,0.432,0.4586666666666666,0.488
58,ScreenType,0.3653333333333333,0.3306666666666666,0.4213333333333333,0.344,0.36,0.36,0.3413333333333333,0.416,0.3466666666666667,0.2986666666666667
59,ShapeletSim,0.6,0.5055555555555555,0.5555555555555556,0.4722222222222222,0.5166666666666667,0.5111111111111111,0.5611111111111111,0.4555555555555555,0.5944444444444444,0.5666666666666667
60,ShapesAll,0.37,0.395,0.3283333333333333,0.3183333333333333,0.38,0.3083333333333333,0.325,0.3733333333333333,0.38,0.325
61,SmallKitchenAppliances,0.552,0.5413333333333333,0.5413333333333333,0.496,0.504,0.576,0.4746666666666667,0.5253333333333333,0.52,0.5333333333333333
62,SonyAIBORobotSurface1,0.6256239600665557,0.6755407653910149,0.6572379367720466,0.7287853577371048,0.6888519134775375,0.6339434276206323,0.7221297836938436,0.6755407653910149,0.6505823627287853,0.6755407653910149
63,SonyAIBORobotSurface2,0.7082896117523609,0.70199370409234,0.695697796432319,0.7397691500524659,0.7313746065057712,0.6768100734522561,0.7051416579223505,0.7103882476390346,0.7649527806925498,0.5299055613850997
64,StarLightCurves,0.9203496843127732,0.8930305973773677,0.9133074307916464,0.9072365225837784,0.9231423020883924,0.9039582321515298,0.8967945604662457,0.9265420106847984,0.9105148130160272,0.9044439048081592
65,Strawberry,0.8540540540540541,0.8054054054054054,0.8162162162162162,0.8351351351351352,0.8,0.8,0.8216216216216217,0.8297297297297297,0.827027027027027,0.8486486486486486
66,SwedishLeaf,0.6656,0.7088,0.6544,0.6656,0.6992,0.6848,0.656,0.6464,0.64,0.696
67,Symbols,0.578894472361809,0.5276381909547738,0.5055276381909548,0.6150753768844222,0.5336683417085427,0.5507537688442211,0.5829145728643216,0.6874371859296482,0.4974874371859296,0.6
68,SyntheticControl,0.9133333333333332,0.8333333333333334,0.8966666666666666,0.8933333333333333,0.9433333333333334,0.89,0.7966666666666666,0.8866666666666667,0.88,0.8766666666666667
69,ToeSegmentation1,0.6052631578947368,0.7456140350877193,0.6842105263157895,0.618421052631579,0.6842105263157895,0.7236842105263158,0.5526315789473685,0.6973684210526315,0.631578947368421,0.6622807017543859
70,ToeSegmentation2,0.8076923076923077,0.823076923076923,0.6692307692307692,0.8384615384615385,0.7692307692307693,0.7769230769230769,0.7692307692307693,0.6461538461538462,0.7769230769230769,0.8
71,Trace,0.88,0.93,0.82,0.92,0.82,0.95,0.91,0.89,0.93,0.86
72,TwoLeadECG,0.7146619841966637,0.6900790166812993,0.7480245829675154,0.8165057067603161,0.7726075504828798,0.6786654960491659,0.6400351185250219,0.6514486391571555,0.7506584723441615,0.7243195785776997
73,TwoPatterns,0.81975,0.941,0.94525,0.89425,0.92125,0.945,0.91675,0.9425,0.958,0.909
74,UWaveGestureLibraryX,0.5516471245114462,0.5541596873255165,0.5820770519262981,0.5857063093243998,0.5742601898380792,0.5689558905639308,0.5424343941931882,0.576214405360134,0.5608598548297041,0.5536013400335008
75,UWaveGestureLibraryY,0.4712451144611949,0.4611948632049134,0.4720826353992183,0.4913456169737576,0.4561697375767727,0.4517029592406477,0.4692908989391401,0.4293690675600223,0.4656616415410385,0.4706867671691792
76,UWaveGestureLibraryZ,0.5125628140703518,0.5463428252372976,0.542713567839196,0.4991624790619765,0.5393634840871022,0.4963707426018984,0.5212171970965941,0.5234505862646566,0.5142378559463987,0.5281965382467895
77,UWaveGestureLibraryAll,0.5580681183696259,0.5120044667783361,0.5374092685650474,0.5575097710776102,0.5977107761027359,0.5628140703517588,0.5932439977666109,0.5804020100502513,0.562534896705751,0.5879396984924623
78,Wafer,0.95360155743024,0.9534393251135628,0.963659961064244,0.9589552238805972,0.9563595068137573,0.9467878001297858,0.963659961064244,0.9620376378974692,0.9438676184295912,0.9574951330304996
79,Wine,0.4259259259259259,0.6666666666666666,0.5,0.4074074074074074,0.5,0.5370370370370371,0.5555555555555556,0.4629629629629629,0.4074074074074074,0.5370370370370371
80,WordSynonyms,0.3667711598746082,0.3040752351097178,0.3322884012539185,0.3275862068965517,0.3260188087774294,0.2993730407523511,0.3150470219435736,0.3197492163009404,0.3181818181818182,0.3166144200626959
81,Worms,0.5454545454545454,0.6623376623376623,0.6103896103896104,0.5974025974025974,0.5844155844155844,0.6363636363636364,0.6493506493506493,0.5454545454545454,0.5844155844155844,0.6103896103896104
82,WormsTwoClass,0.7402597402597403,0.6623376623376623,0.7662337662337663,0.7012987012987013,0.7142857142857143,0.7012987012987013,0.6883116883116883,0.7142857142857143,0.7012987012987013,0.6623376623376623
83,Yoga,0.6063333333333333,0.6036666666666667,0.6276666666666667,0.6776666666666666,0.6266666666666667,0.5966666666666667,0.6163333333333333,0.6236666666666667,0.6223333333333333,0.6353333333333333
