,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
69,ToeSegmentation1,0.9210526315789472,0.9298245614035088,0.912280701754386,0.8859649122807017,0.881578947368421,0.8771929824561403,0.8771929824561403,0.8859649122807017,0.881578947368421,0.9035087719298246
70,ToeSegmentation2,0.9076923076923076,0.9230769230769232,0.8923076923076924,0.8846153846153846,0.9230769230769232,0.9384615384615383,0.9076923076923076,0.9076923076923076,0.9153846153846154,0.9
71,Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,TwoLeadECG,0.968393327480246,0.9675153643546972,0.9666374012291484,0.9692712906057944,0.9657594381035997,0.9798068481123792,0.9692712906057944,0.9780509218612818,0.974539069359087,0.9736611062335382
73,TwoPatterns,0.99825,0.99825,0.99825,0.99875,0.9975,0.9975,0.999,0.9975,0.9985,0.9985
74,UWaveGestureLibraryX,0.775823562255723,0.7794528196538246,0.7752652149637074,0.7777777777777778,0.77749860413177,0.7755443886097152,0.7800111669458403,0.7786152987158013,0.775823562255723,0.7802903405918481
75,UWaveGestureLibraryY,0.7171970965940815,0.7227805695142379,0.7252931323283082,0.7160804020100503,0.7171970965940815,0.7146845337800112,0.7205471803461754,0.7205471803461754,0.711892797319933,0.714963707426019
76,UWaveGestureLibraryZ,0.7121719709659409,0.7096594081518705,0.7104969290898939,0.7132886655499721,0.7063093243997767,0.7001675041876047,0.7063093243997767,0.7046342825237297,0.714963707426019,0.7079843662758235
77,UWaveGestureLibraryAll,0.903964265773311,0.902568397543272,0.9081518704634284,0.9092685650474596,0.9014517029592406,0.913176996091569,0.9059184812953656,0.911501954215522,0.9006141820212172,0.903964265773311
78,Wafer,0.9964308890330954,0.9954574951330304,0.995295262816353,0.9951330304996756,0.995619727449708,0.9957819597663856,0.995295262816353,0.9951330304996756,0.9951330304996756,0.996268656716418
79,Wine,0.6481481481481481,0.5925925925925926,0.5,0.7407407407407407,0.6666666666666666,0.6666666666666666,0.7407407407407407,0.5925925925925926,0.6666666666666666,0.7222222222222222
80,WordSynonyms,0.4905956112852664,0.4827586206896552,0.4796238244514106,0.5109717868338558,0.5,0.4968652037617554,0.5078369905956113,0.5297805642633229,0.5172413793103449,0.5203761755485894
81,Worms,0.6623376623376623,0.7272727272727273,0.7662337662337663,0.7142857142857143,0.7272727272727273,0.7272727272727273,0.7402597402597403,0.7662337662337663,0.7662337662337663,0.7272727272727273
82,WormsTwoClass,0.6883116883116883,0.7272727272727273,0.7532467532467533,0.7532467532467533,0.7142857142857143,0.7012987012987013,0.7272727272727273,0.7402597402597403,0.7272727272727273,0.7272727272727273
83,Yoga,0.8126666666666666,0.8246666666666667,0.8276666666666667,0.8306666666666667,0.8286666666666667,0.811,0.8236666666666667,0.8196666666666667,0.835,0.844
