dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
NonInvasiveFetalECGThorax2,0.899236641221374,0.8961832061068702,0.8936386768447837,0.900763358778626,0.9063613231552164,0.9012722646310432,0.8931297709923665,0.8997455470737914,0.902290076335878,0.8966921119592876
OliveOil,0.8,0.8,0.7666666666666667,0.8333333333333334,0.7333333333333333,0.9,0.7666666666666667,0.6666666666666666,0.7666666666666667,0.7333333333333333
OSULeaf,0.6446280991735537,0.6859504132231405,0.6570247933884298,0.6900826446280992,0.6446280991735537,0.6446280991735537,0.6528925619834711,0.6570247933884298,0.6446280991735537,0.6570247933884298
PhalangesOutlinesCorrect,0.7843822843822844,0.7517482517482518,0.7564102564102564,0.7680652680652681,0.7680652680652681,0.7750582750582751,0.7715617715617715,0.7703962703962703,0.7610722610722611,0.7797202797202797
Phoneme,0.2067510548523206,0.1940928270042194,0.2014767932489451,0.1909282700421941,0.20042194092827,0.2041139240506329,0.1946202531645569,0.1925105485232067,0.2035864978902953,0.1951476793248945
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ProximalPhalanxOutlineCorrect,0.8178694158075601,0.8041237113402062,0.7972508591065293,0.8316151202749141,0.8213058419243986,0.8384879725085911,0.8419243986254296,0.8006872852233677,0.8041237113402062,0.8213058419243986
ProximalPhalanxOutlineAgeGroup,0.8,0.7853658536585366,0.775609756097561,0.775609756097561,0.775609756097561,0.7560975609756098,0.7902439024390244,0.8048780487804879,0.8,0.7951219512195122
ProximalPhalanxTW,0.7365853658536585,0.7219512195121951,0.7219512195121951,0.7268292682926829,0.7170731707317073,0.7121951219512195,0.7024390243902439,0.7219512195121951,0.751219512195122,0.7268292682926829
RefrigerationDevices,0.4746666666666667,0.4773333333333333,0.4826666666666667,0.5413333333333333,0.504,0.4933333333333333,0.4853333333333333,0.4986666666666666,0.4986666666666666,0.4853333333333333
ScreenType,0.392,0.4,0.4186666666666667,0.44,0.3973333333333333,0.3893333333333333,0.4293333333333333,0.4426666666666666,0.3813333333333333,0.4373333333333333
ShapeletSim,0.55,0.5111111111111111,0.6222222222222222,0.5388888888888889,0.5388888888888889,0.5555555555555556,0.5833333333333334,0.4833333333333333,0.5611111111111111,0.5777777777777777
