dataset,MDLP_L,MDLP_H,SAX_L,SAX_H,KM_L,KM_H
SonyAIBORobotSurface2,0.9067156348373556,0.9071353620146907,0.8450157397691502,0.840083945435467,0.7290661070304303,0.6964323189926548
StarLightCurves,0.9665614375910637,0.9666707139388052,0.9594341913550265,0.9607940747935888,0.9105148130160272,0.9099320058280718
Strawberry,0.9416216216216217,0.9416216216216217,0.9443243243243243,0.9486486486486484,0.8602702702702703,0.8237837837837837
SwedishLeaf,0.9299200000000001,0.9304,0.9196800000000002,0.9222400000000001,0.6844800000000001,0.6716799999999999
Symbols,0.9782914572864321,0.9789949748743719,0.9682412060301507,0.9693467336683417,0.614070351758794,0.5679396984924623
SyntheticControl,0.984,0.9846666666666668,0.9823333333333333,0.9830000000000002,0.8800000000000001,0.8809999999999999
ToeSegmentation1,0.9004385964912279,0.8956140350877193,0.8951754385964911,0.874122807017544,0.6719298245614035,0.6605263157894737
ToeSegmentation2,0.9015384615384617,0.9100000000000001,0.9123076923076925,0.9100000000000001,0.6930769230769231,0.7676923076923077
Trace,1.0,1.0,1.0,0.999,0.905,0.891
TwoLeadECG,0.968920105355575,0.9712906057945567,0.9817383669885864,0.9830553116769096,0.7414398595258997,0.7187006145741879
TwoPatterns,0.9976500000000001,0.9982,0.9995499999999999,0.999225,0.939425,0.9192750000000001
UWaveGestureLibraryX,0.7747627024008934,0.7776102735901731,0.715745393634841,0.7126186487995533,0.5631769960915689,0.5649916247906198
UWaveGestureLibraryY,0.7184533780011166,0.7181183696259074,0.6388051367950867,0.6404522613065328,0.47710776102735897,0.4638749302065885
UWaveGestureLibraryZ,0.7077889447236181,0.7085985482970407,0.6651312116136238,0.6625348967057509,0.5260469011725293,0.5223618090452262
UWaveGestureLibraryAll,0.9039084310441095,0.9060580681183696,0.8021775544388609,0.8085706309324399,0.5615857063093245,0.564963707426019
Wafer,0.9957008436080466,0.9955548345230371,0.9950032446463336,0.9949707981829979,0.960756002595717,0.9559863724853992
Wine,0.6833333333333333,0.6537037037037037,0.4481481481481481,0.5055555555555555,0.5092592592592592,0.5
WordSynonyms,0.5042319749216301,0.5036050156739813,0.6349529780564264,0.6283699059561128,0.32946708463949836,0.32257053291536053
Worms,0.7103896103896105,0.7324675324675325,0.7000000000000001,0.7142857142857143,0.6168831168831168,0.6025974025974026
WormsTwoClass,0.7402597402597403,0.7259740259740262,0.7532467532467533,0.7688311688311689,0.7025974025974027,0.7051948051948053
Yoga,0.8240666666666667,0.8257666666666668,0.8219666666666665,0.8219666666666667,0.6194666666666667,0.6236333333333335
