dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Strawberry,0.9432432432432432,0.945945945945946,0.9432432432432432,0.9405405405405406,0.9432432432432432,0.9405405405405406,0.9405405405405406,0.9432432432432432,0.9378378378378378,0.9378378378378378
SwedishLeaf,0.9296,0.9296,0.9264,0.9232,0.9312,0.9312,0.928,0.9328,0.9344,0.9328
Symbols,0.9778894472361808,0.9778894472361808,0.9778894472361808,0.9768844221105528,0.978894472361809,0.9778894472361808,0.9798994974874372,0.9798994974874372,0.9778894472361808,0.9778894472361808
SyntheticControl,0.99,0.9866666666666668,0.9833333333333332,0.9866666666666668,0.9766666666666668,0.9766666666666668,0.9866666666666668,0.9833333333333332,0.9933333333333332,0.9766666666666668
ToeSegmentation1,0.881578947368421,0.881578947368421,0.8991228070175439,0.9166666666666666,0.8991228070175439,0.925438596491228,0.9166666666666666,0.8596491228070176,0.9078947368421052,0.9166666666666666
ToeSegmentation2,0.9076923076923076,0.9,0.8923076923076924,0.9,0.9076923076923076,0.9153846153846154,0.9076923076923076,0.9,0.8923076923076924,0.8923076923076924
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.9692712906057944,0.9666374012291484,0.9666374012291484,0.9666374012291484,0.9701492537313432,0.9701492537313432,0.9666374012291484,0.9736611062335382,0.9727831431079894,0.9666374012291484
TwoPatterns,0.99825,0.998,0.997,0.99675,0.998,0.9975,0.9975,0.99775,0.9975,0.99825
UWaveGestureLibraryX,0.7666108319374652,0.7761027359017308,0.7749860413176997,0.7716359575656058,0.7794528196538246,0.7761027359017308,0.7716359575656058,0.7727526521496371,0.7811278615298716,0.7772194304857621
UWaveGestureLibraryY,0.7174762702400893,0.7252931323283082,0.7130094919039642,0.7113344500279174,0.7158012283640425,0.7261306532663316,0.7183137911781128,0.7244556113902848,0.7155220547180347,0.7171970965940815
UWaveGestureLibraryZ,0.7043551088777219,0.711892797319933,0.7127303182579564,0.7063093243997767,0.7068676716917923,0.7085427135678392,0.707426018983808,0.7060301507537688,0.7051926298157454,0.7085427135678392
UWaveGestureLibraryAll,0.9036850921273032,0.902568397543272,0.9048017867113344,0.9050809603573424,0.8975432719151312,0.9064768285873812,0.9014517029592406,0.9034059184812954,0.9134561697375768,0.9006141820212172
Wafer,0.995619727449708,0.9957819597663856,0.995295262816353,0.9961064243997404,0.995295262816353,0.9957819597663856,0.995619727449708,0.995944192083063,0.9961064243997404,0.9954574951330304
Wine,0.6481481481481481,0.7037037037037037,0.5925925925925926,0.5555555555555556,0.7037037037037037,0.7037037037037037,0.7962962962962963,0.7407407407407407,0.7407407407407407,0.6481481481481481
WordSynonyms,0.5,0.5015673981191222,0.4921630094043887,0.5109717868338558,0.5062695924764891,0.5,0.4858934169278996,0.5156739811912225,0.5062695924764891,0.5235109717868338
Worms,0.6623376623376623,0.7402597402597403,0.6623376623376623,0.7662337662337663,0.7142857142857143,0.7532467532467533,0.7012987012987013,0.6363636363636364,0.7662337662337663,0.7012987012987013
WormsTwoClass,0.6883116883116883,0.7142857142857143,0.7792207792207793,0.7142857142857143,0.7792207792207793,0.7792207792207793,0.7012987012987013,0.6883116883116883,0.7532467532467533,0.8051948051948052
Yoga,0.8223333333333334,0.8223333333333334,0.817,0.8413333333333334,0.8283333333333334,0.8113333333333334,0.8203333333333334,0.8143333333333334,0.8346666666666667,0.8286666666666667
